"OBJECTID","STNO","STREET_NAM"
741,"02350","TUNNEL RD"
742,"02348","TUNNEL RD"
743,"02345","TUNNEL RD"
744,"00702","GRIZZLY TER DR"
745,"00721","GRIZZLY TER DR"
746,"02565","TUNNEL RD"
747,"02335","TUNNEL RD"
748,"00031","BAY FOREST CT"
749,"00015","BAY FOREST DR"
750,"00052","BAY FOREST DR"
751,"00063","BAY FOREST DR"
752,"02325","TUNNEL RD"
753,"00708","GRIZZLY TER DR"
754,"00000","GRIZZLY TER DR"
755,"00718","GRIZZLY TER DR"
756,"00710","GRIZZLY TER DR"
757,"00024","BAY FOREST DR"
758,"00018","BAY FOREST DR"
759,"00048","BAY FOREST DR"
760,"00010","BAY FOREST DR"
761,"07120","BUCKINGHAM BLVD"
762,"07265","BUCKINGHAM BLVD"
763,"01800","TUNNEL RD"
764,"06900","CHARING CROSS RD"
765,"06854","CHARING CROSS RD"
766,"00000","GRIZZLY PEAK BLVD"
767,"00000","GRIZZLY PEAK BLVD"
768,"00000","GRIZZLY PEAK BLVD"
769,"02900","CLAREMONT AV"
770,"00025","STONEWALL RD"
771,"00101","STONEWALL RD"
772,"02800","CLAREMONT AV"
773,"00070","STONEWALL RD"
774,"00125","STONEWALL RD"
775,"00046","STONEWALL RD"
776,"01023","AMITO AV"
777,"01040","AMITO AV"
778," "," "
779," "," "
780," "," "
781," "," "
782," "," "
783," "," "
784," "," "
785," "," "
786," "," "
787," "," "
788," "," "
789," "," "
790," "," "
791," "," "
792," "," "
793," "," "
794," "," "
795," "," "
796," "," "
797," "," "
798," "," "
799," "," "
800," "," "
801," "," "
802," "," "
803," "," "
804,"01045","ALVARADO RD"
805,"01008","ALVARADO RD"
806,"01084","SILER PL"
807,"01071","SILER PL"
808,"01057","SILER PL"
809,"01044","SILER PL"
810,"01021","SILER PL"
811,"00970","ALVARADO RD"
812,"00951","ALVARADO RD"
813,"00940","ALVARADO RD"
814,"00900","ALVARADO RD"
815,"00901","ALVARADO RD"
816,"00845","ALVARADO RD"
817,"00823","ALVARADO RD"
818,"00975","ALVARADO RD"
819,"01035","RISPIN DR"
820,"07733","CLAREMONT AV"
821,"07779","CLAREMONT AV"
822,"00000","CLAREMONT AV"
823,"07501","CLAREMONT AV"
824,"06742","CLAREMONT AV"
825,"00000","CLAREMONT AV"
826,"07351","CLAREMONT AV"
827,"00000","CLAREMONT AV"
828,"00148","STONEWALL RD"
829,"00283","STONEWALL RD"
830,"07284","CLAREMONT AV"
831,"07381","CLAREMONT AV"
832,"07451","CLAREMONT AV"
833,"00128","EVERGREEN LN"
834,"00085","EVERGREEN LN"
835,"01006","AMITO AV"
836,"00984","ALVARADO RD"
837,"01032","ALVARADO RD"
838,"01001","RISPIN DR"
839,"07602","CLAREMONT AV"
840,"00000","CLAREMONT AV"
841,"00181","STONEWALL RD"
842,"00201","STONEWALL RD"
843,"00230","STONEWALL RD"
844,"00250","STONEWALL RD"
845,"07360","CLAREMONT AV"
846,"07402","CLAREMONT AV"
847,"07080","MARLBOROUGH TER"
848,"00000","MARLBOROUGH TER"
849,"00000","MARLBOROUGH TER"
850,"00000","MARLBOROUGH TER"
851,"07117","WESTMORELAND DR"
852,"07115","MARLBOROUGH TER"
853,"07080","NORFOLK RD"
854,"00114","STRATHMOOR DR"
855,"00011","STRATHMOOR DR"
856,"00003","STRATHMOOR DR"
857,"01215","DRURY RD"
858,"01160","DRURY RD"
859," ","BESITO AV"
860,"00011","DARTHMOUTH DR"
861,"01061","AMITO RD"
862,"01092","ALVARADO RD"
863,"01145","ALVARADO RD"
864,"01125","ALVARADO RD"
865,"01075","AMITO RD"
1220,"06001","IDAHO ST"
1221,"06035","IDAHO ST"
1222,"00696","61ST ST"
1223,"00650","61ST ST"
1224,"00616","61ST ST"
1225,"06320","DOVER ST"
1226,"00601","POIRIER ST"
1227,"06100","SHATTUCK AV"
1228,"00699","63RD ST"
1229,"06103","ADELINE ST"
1230,"02938","CHESTNUT ST"
1231,"05944","WHITNEY ST"
1232,"03010","CHESTNUT ST"
1233,"00697","60TH ST"
1234,"00649","60TH ST"
1235,"00623","60TH ST"
1236,"00693","POIRIER ST"
