OBJECTID,TYPE,STREET ADDRESS,CITY/STATE
427,Street Lights,6361 CLAREMONT AV,"Oakland, CA"
428,Street Lights,6249 CLAREMONT AV,"Oakland, CA"
429,Street Lights,6241 CLAREMONT AV,"Oakland, CA"
430,Street Lights,6231 CLAREMONT AV,"Oakland, CA"
431,Street Lights,6209 CLAREMONT AV,"Oakland, CA"
432,Street Lights,6007 AUBURN AV,"Oakland, CA"
433,Street Lights,6099 COLLEGE AV,"Oakland, CA"
434,Street Lights,6201 COLLEGE AV,"Oakland, CA"
435,Street Lights,6245 COLLEGE AV,"Oakland, CA"
436,Street Lights,6311 COLLEGE AV,"Oakland, CA"
437,Street Lights,320 63RD ST,"Oakland, CA"
438,Street Lights,320 ALCATRAZ AV,"Oakland, CA"
439,Street Lights,328 63RD ST,"Oakland, CA"
440,Street Lights,6207 MANOA ST,"Oakland, CA"
441,Street Lights,6706 MANOR CREST,"Oakland, CA"
442,Street Lights,5924 CHAHOLYN TERR,"Oakland, CA"
443,Street Lights,5960 CHAHOLYN TERR,"Oakland, CA"
444,Street Lights,6674 CHABOT RD,"Oakland, CA"
445,Street Lights,6650 CHABOT RD,"Oakland, CA"
446,Street Lights,6616 CHABOT RD,"Oakland, CA"
447,Street Lights,6578 CHABOT RD,"Oakland, CA"
448,Street Lights,6500 CHABOT RD,"Oakland, CA"
449,Street Lights,6434 CHABOT RD,"Oakland, CA"
450,Street Lights,6596 CHABOT RD,"Oakland, CA"
451,Street Lights,6022 ROCKWELL ST,"Oakland, CA"
452,Street Lights,6401 HARWOOD AV,"Oakland, CA"
453,Street Lights,6429 HARWOOD AV,"Oakland, CA"
454,Street Lights,6505 HARWOOD AV,"Oakland, CA"
455,Street Lights,60 EUCALYPTUS RD,"Oakland, CA"
456,Street Lights,77 EUCALYPTUS RD,"Oakland, CA"
457,Street Lights,6425 MYSTIC ST,"Oakland, CA"
458,Street Lights,6226 ROCKWELL ST,"Oakland, CA"
459,Street Lights,6240 AUBURN AV,"Oakland, CA"
